rush_yd,rush_td,rush_fd,rush_att,rush_2pt,pts_std,pts_ppr,pts_half_ppr,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,gp,fum_lost,cmp_pct,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,player_id,first_name,last_name,injury_status
285.0,3.0,28.5,62.0,,247.42,247.42,247.42,3448.0,20.0,13.0,344.8,318.0,501.0,1.0,18.0,3.0,63.47,203.0,999.0,191.4,128.9,206.1,169.5,160.7,169.0,82.0,999.0,97.2,8160,Kenny,Pickett,
289.0,3.0,28.9,75.0,,245.54,245.54,245.54,3441.0,20.0,13.0,344.1,297.0,488.0,1.0,18.0,4.0,60.86,202.5,999.0,194.5,92.0,203.4,114.0,111.2,114.3,43.5,999.0,103.0,9758,C.J.,Stroud,
147.0,1.0,14.7,45.0,,239.26,239.26,239.26,3589.0,22.0,11.0,358.9,308.0,484.0,1.0,18.0,2.0,63.64,196.7,999.0,182.1,177.3,196.4,183.1,188.7,184.0,115.4,999.0,114.0,8183,Brock,Purdy,
254.0,3.0,25.4,62.0,,238.6,238.6,238.6,3380.0,20.0,12.0,338.0,301.0,480.0,,18.0,4.0,62.71,220.1,999.0,232.6,192.2,221.9,223.8,237.5,223.1,125.9,999.0,112.9,8162,Sam,Howell,
172.0,2.0,17.2,47.0,,225.24,225.24,225.24,3201.0,20.0,10.0,320.1,280.0,434.0,1.0,18.0,2.0,64.52,239.9,999.0,254.6,266.5,237.7,310.7,312.5,310.2,168.4,999.0,138.2,1049,Ryan,Tannehill,
22.0,1.0,2.2,7.0,,220.52,220.52,220.52,3583.0,22.0,13.0,358.3,338.0,509.0,1.0,18.0,4.0,66.4,243.5,999.0,231.0,246.6,239.6,299.6,281.2,302.0,151.7,999.0,127.5,1837,Jimmy,Garoppolo,
133.0,1.0,13.3,40.0,,213.06,213.06,213.06,3269.0,20.0,13.0,326.9,296.0,469.0,1.0,18.0,3.0,63.11,255.6,999.0,239.1,244.9,255.8,257.7,278.8,257.6,126.0,999.0,125.5,7527,Mac,Jones,
276.0,3.0,27.6,67.0,,212.4,212.4,212.4,2745.0,18.0,11.0,274.5,249.0,402.0,2.0,18.0,4.0,61.94,249.6,999.0,246.9,242.2,247.8,223.3,240.8,224.1,128.2,999.0,134.7,8159,Desmond,Ridder,
78.0,2.0,7.8,21.0,,121.0,121.0,121.0,1755.0,10.0,7.0,175.5,154.0,252.0,1.0,18.0,2.0,61.11,270.6,999.0,260.7,274.7,267.4,326.5,314.0,325.5,176.1,999.0,164.1,4892,Baker,Mayfield,
,,,,,93.4,93.4,93.4,1660.0,9.0,7.0,166.0,146.0,240.0,1.0,18.0,2.0,60.83,561.4,999.0,999.0,368.3,591.9,303.1,316.0,305.1,206.1,999.0,204.9,7605,Kyle,Trask,
