gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
,,,,1058624,,,,Jacob,25,Hummel,TRUE,LAR,,RILB,Active,0c7ceb00-d207-11ec-ab20-b37737d70cc4,,8733,['LB'],,9999999,6592B272CCBB,16270,Jacob Hummel,LB,,2
,,,,1448292,,,,Jerome,24,Kapp,TRUE,,,,Active,64c0ef00-fa65-11ed-b161-c5ef733b4e80,,11522,['WR'],,622,,17644,Jerome Kapp,WR,,
00-0031598,608753,,16931,608753,,,,Nick,29,Boyle,TRUE,,28559,,Active,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,,2474,['TE'],10547,9999999,,10252,Nick Boyle,TE,2574591,
,,,,1060719,,,,Ty,23,Clary,TRUE,,,,Active,c22d7080-d3b2-11ec-96a0-c3471a31202c,,8852,['OL'],,9999999,,,Ty Clary,OL,,
,,,,1051044,,,,Aaron,24,Shampklin,TRUE,,,,Active,c09be300-d30d-11ec-8b77-45b1765fd110,,8809,['RB'],,445,8C27E3A10D7A,16367,Aaron Shampklin,RB,,
,,,,1229074,,,,Parker,22,Washington,TRUE,JAX,,SWR,Active,c05863ec-3414-4ae6-a8d2-830aed99b6d3,,9487,['WR'],,668,6C394246A6D8,16690,Parker Washington,WR,,4
,,,21931,1059222,,,,Geno,25,Stone,TRUE,CIN,32889,FS,Active,95f3b8ac-e10f-4f0d-8650-b464b37ded86,,6923,['DB'],,610,403AA74AF980,14474,Geno Stone,DB,4240575,1
,593578,,16135,,,,,Johnny,27,Manziel,FALSE,,27550,,Inactive,7ebbfdef-1185-4896-a323-e6d5669a8345,,1907,['QB'],9271,9999999,,9246,Johnny Manziel,QB,16736,
,,,22317,880210,,,,Joe,27,Gaziano,TRUE,JAX,32982,,Active,bab100c6-1a6c-4411-9286-f719244f5d35,,7325,['DL'],,9999999,4F578D605AAF,15065,Joe Gaziano,DE,3915990,
,,,,877900,,,,Jarrid,26,Williams,TRUE,,,,Active,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,,8716,['OL'],,9999999,,16329,Jarrid Williams,OL,,
 00-0035477,,,21539,,,,,Brock,26,Ruble,TRUE,,32485,,Active,89fc014a-7d41-40c9-90d1-1459286813e2,,6648,['OL'],,9999999,,14291,Brock Ruble,OT,3122934,
00-0032791,605325,,18103,605325,,Undisclosed,,Jakeem,31,Grant,TRUE,,29420,,Inactive,5de11f0b-8da9-42ba-9a93-db7f0a58543b,,3342,['WR'],11475,662,2CDE42756969,10990,Jakeem Grant,WR,2577641,
00-0030300,463514,,15509,,,,,Jaron,32,Brown,TRUE,,27074,,Active,51952c7b-11c5-4229-baf9-08d4694cc2ad,,1684,['WR'],8869,763,,9046,Jaron Brown,WR,16172,
00-0033038,,,18029,651636,,,,Eric,30,Murray,TRUE,HOU,29340,FS,Active,16e4ffec-959d-4210-8702-36c0bf20dda5,,3268,['DB'],,9999999,DFF0CE83247F,11141,Eric Murray,DB,2970716,2
00-0033445,,,19310,1050219,,Groin,,Nicholas,29,Morrow,TRUE,BUF,30633,ROLB,Active,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,,4449,['LB'],,500,DB8EDD57A8EC,12428,Nicholas Morrow,LB,4232830,2
,,,,1334826,,,,Joshua,24,Pryor,TRUE,,,,Active,fa4e3720-e760-11ed-a510-95de71e69612,,11072,['DL'],,9999999,C7E7375D12FB,17615,Joshua Pryor,DL,,
,,,21843,1049246,,Undisclosed,,Salvon,25,Ahmed,TRUE,,33265,,Active,0dbbd211-0372-4751-9751-e4df4ab1f8eb,,6918,['RB'],,600,998715B4D91F,14453,Salvon Ahmed,RB,4243315,
 00-0035308,836094,,20957,836094,,,,Tommy,29,Sweeney,TRUE,,32060,,Active,ec63ee49-3a03-44ca-a083-3916f0bccd76,,6137,['TE'],,565,BAB992EBEF7A,13667,Tommy Sweeney,TE,3122818,
,,,,1124148,,,,Brad,23,Cecil,TRUE,,,,Active,c242e360-ec6c-11ed-9b1c-797c54fc9d07,,11340,['OL'],,9999999,,,Brad Cecil,OL,,
00-0034668,,,20379,750486,,,,Aaron,30,Stinnie,TRUE,NYG,31619,OL,Active,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,,5668,"['OG', 'OL']",,9999999,15D6D87D37FB,13303,Aaron Stinnie,G,3049339,
00-0032583,609814,,18334,,,,,Bryce,28,Williams,TRUE,,29879,,Active,a204547e-ecd3-4116-909a-ce823caa9067,,3561,['TE'],,9999999,,10946,Bryce Williams,TE,2981998,
