stats_id,fantasy_data_id,active,team,status,player_id,fantasy_positions,full_name,position,depth_chart_order
837820,19854,TRUE,CHI,Inactive,4992,['WR'],Dante Pettis,WR,9
540523,15242,TRUE,,Active,1590,['DB'],Eric Reid,SS,
,19719,TRUE,,Active,4804,['OL'],Darrell Brown,OT,
692336,19407,TRUE,,Inactive,4529,['DB'],Ryan Lewis,CB,
,9162,TRUE,CAR,Active,439,['LS'],JJ Jansen,LS,
,21894,TRUE,TEN,Active,6858,['DL'],James Lynch,DT,
,15116,TRUE,,Active,1510,"['OL', 'OT']",Jordan Mills,T,
,19313,TRUE,OAK,Active,4925,['OL'],Jordan Wade,G,
689636,18407,FALSE,,Inactive,3620,['WR'],Bralon Addison,WR,
,,TRUE,,Active,11155,['TE'],Christian Sims,TE,
,16266,FALSE,,Injured Reserve,1995,['LB'],Telvin Smith,LB,
,,TRUE,NE,Inactive,10926,['DB'],Marte Mapu,DB,
,,TRUE,NE,Active,9504,['WR'],Kayshon Boutte,WR,7
750368,19732,TRUE,,Active,4828,['WR'],Rashard Davis,WR,
506529,16144,FALSE,,Inactive,1914,['RB'],Dri Archer,RB,
,,TRUE,,Active,11525,['P'],Daniel Whelan,P,
,15620,FALSE,,Inactive,1711,['DB'],Darren Woodard,CB,
744431,19255,TRUE,,Active,4396,['WR'],Drew Morgan,WR,
747906,18881,TRUE,,Active,4038,['WR'],John Ross,WR,
397413,14167,TRUE,,Active,1148,['LB'],Kyle Wilber,LB,
398112,13162,FALSE,,Inactive,914,['WR'],Leonard Hankerson,WR,
,15392,FALSE,,Inactive,1649,['DB'],Jordan Kovacs,DB,
,,TRUE,DEN,Active,11439,['RB'],Jaleel McLaughlin,RB,2
,,TRUE,,Active,11282,['WR'],Johnny King,WR,
614302,18540,TRUE,,Active,3730,['WR'],Tevin Jones,WR,
,22155,TRUE,ATL,Active,7153,['OL'],Kyle Hinton,G,
,18176,FALSE,,Inactive,3414,['LB'],Anthony Sarao,ILB,
,4877,FALSE,,Inactive,186,"['DL', 'LB']",DeMarcus Ware,DE,
,,TRUE,,Active,11450,['OL'],Tyler Beach,OL,
,,TRUE,,Active,11109,['OL'],Mark Evans,OL,
381820,14189,FALSE,,Inactive,1150,['LB'],Shea McClellin,LB,
,15997,FALSE,,Inactive,1813,['LB'],Randell Johnson,LB,
,19244,FALSE,,Inactive,4788,['DB'],Duplicate Player,CB,
,,TRUE,,Active,8533,,Josh Sokol,C,
,16786,TRUE,CAR,Active,2330,['LB'],Shaq Thompson,LB,1
461900,15281,FALSE,,Inactive,1609,['TE'],Chris Pantale,TE,
843755,20632,TRUE,,Active,5718,['TE'],Ryan Yurachek,TE,
596437,18743,TRUE,,Active,3916,['WR'],David Watford,WR,
,21517,TRUE,,Active,6639,['DB'],Terrell Bonds,CB,
829985,20120,TRUE,,Active,5530,['WR'],Evan Berry,WR,
,,TRUE,,Active,11445,['WR'],Taylor Grimes,WR,
,4517,FALSE,,Inactive,174,['DL'],Jay Ratliff,NT,
749064,20600,TRUE,,Active,5619,['RB'],Dalyn Dawkins,RB,
749635,20039,TRUE,,Active,5122,['RB'],Boston Scott,RB,
,,TRUE,LV,Active,7823,['DB'],Nate Hobbs,CB,1
927071,20473,FALSE,,Inactive,5396,['WR'],Sergio Bailey II,WR,
,22161,TRUE,,Inactive,7160,"['DL', 'LB']",Ledarius Mack,LB,
,17322,FALSE,,Inactive,2854,['DL'],Kenny Horsley,DT,
,,TRUE,BAL,Active,11629,['WR'],Devontez Walker,WR,4
